
Train set: Average loss: 0.0276, Accuracy: 257/425 (60%)


Train set: Average loss: 0.0248, Accuracy: 291/425 (68%)


Train set: Average loss: 0.0231, Accuracy: 299/425 (70%)


Train set: Average loss: 0.0218, Accuracy: 323/425 (76%)


Train set: Average loss: 0.0209, Accuracy: 322/425 (76%)


Train set: Average loss: 0.0193, Accuracy: 331/425 (78%)


Train set: Average loss: 0.0199, Accuracy: 324/425 (76%)


Train set: Average loss: 0.0171, Accuracy: 349/425 (82%)


Train set: Average loss: 0.0150, Accuracy: 347/425 (82%)


Train set: Average loss: 0.0163, Accuracy: 341/425 (80%)


 The epoch is 10, average recall: 0.7759, average precision: 0.6338,average F1: 0.6977, average accuracy: 0.6695, average AUC: 0.7825
Train set: Average loss: 0.0153, Accuracy: 350/425 (82%)


Train set: Average loss: 0.0138, Accuracy: 365/425 (86%)


Train set: Average loss: 0.0149, Accuracy: 363/425 (85%)


Train set: Average loss: 0.0132, Accuracy: 365/425 (86%)


Train set: Average loss: 0.0128, Accuracy: 365/425 (86%)


Train set: Average loss: 0.0112, Accuracy: 379/425 (89%)


Train set: Average loss: 0.0101, Accuracy: 381/425 (90%)


Train set: Average loss: 0.0116, Accuracy: 377/425 (89%)


Train set: Average loss: 0.0105, Accuracy: 383/425 (90%)


Train set: Average loss: 0.0075, Accuracy: 394/425 (93%)


 The epoch is 20, average recall: 0.7586, average precision: 0.7333,average F1: 0.7458, average accuracy: 0.7458, average AUC: 0.8299
Train set: Average loss: 0.0089, Accuracy: 385/425 (91%)


Train set: Average loss: 0.0120, Accuracy: 369/425 (87%)


Train set: Average loss: 0.0136, Accuracy: 363/425 (85%)


Train set: Average loss: 0.0088, Accuracy: 389/425 (92%)


Train set: Average loss: 0.0085, Accuracy: 391/425 (92%)


Train set: Average loss: 0.0078, Accuracy: 392/425 (92%)


Train set: Average loss: 0.0068, Accuracy: 399/425 (94%)


Train set: Average loss: 0.0087, Accuracy: 394/425 (93%)


Train set: Average loss: 0.0060, Accuracy: 405/425 (95%)


Train set: Average loss: 0.0056, Accuracy: 406/425 (96%)


 The epoch is 30, average recall: 0.7241, average precision: 0.7636,average F1: 0.7434, average accuracy: 0.7542, average AUC: 0.8348
Train set: Average loss: 0.0060, Accuracy: 400/425 (94%)


Train set: Average loss: 0.0054, Accuracy: 398/425 (94%)


Train set: Average loss: 0.0069, Accuracy: 402/425 (95%)


Train set: Average loss: 0.0064, Accuracy: 398/425 (94%)


Train set: Average loss: 0.0053, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0059, Accuracy: 400/425 (94%)


Train set: Average loss: 0.0053, Accuracy: 406/425 (96%)


Train set: Average loss: 0.0063, Accuracy: 397/425 (93%)


Train set: Average loss: 0.0040, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0084, Accuracy: 399/425 (94%)


 The epoch is 40, average recall: 0.7759, average precision: 0.7031,average F1: 0.7377, average accuracy: 0.7288, average AUC: 0.8063
Train set: Average loss: 0.0066, Accuracy: 404/425 (95%)


